ED_COUNTER,ED_INTERPOLATED,ED_RAW_CQ,ED_AF3,ED_F7,ED_F3,ED_FC5,ED_T7,ED_P7,ED_O1,ED_O2,ED_P8,ED_T8,ED_FC6,ED_F4,ED_F8,ED_AF4,ED_GYROX,ED_GYROY,ED_TIMESTAMP,ED_ES_TIMESTAMP,ED_FUNC_ID,ED_FUNC_VALUE,ED_MARKER,ED_SYNC_SIGNAL,
10,0,642,4241.025641,647.692308,4164.102564,4108.205128,647.692308,647.692308,647.692308,4115.897436,4206.666667,4040.512821,646.153846,646.153846,4162.564103,3467.179487,1698,1693,3159.4,0.031277,0,0,0,0,
11,0,417,4241.538462,647.692308,4151.794872,4107.179487,647.692308,647.692308,647.692308,4101.538462,4189.230769,4022.051282,646.153846,646.153846,4150.769231,3458.974359,1699,1692,3159.407,0.031277,0,0,0,0,
12,0,0,4254.871795,647.692308,4148.205128,4111.282051,647.692308,647.692308,647.692308,4101.025641,4196.410256,4035.384615,646.153846,646.153846,4154.871795,3461.538462,1698,1692,3159.415,0.031277,0,0,0,0,
13,0,0,4249.74359,647.692308,4158.974359,4110.769231,647.692308,647.692308,647.692308,4115.384615,4221.538462,4064.615385,646.153846,646.153846,4168.717949,3465.641026,1699,1691,3159.426,0.031277,0,0,0,0,
14,0,642,4244.615385,647.692308,4166.666667,4112.307692,647.692308,647.692308,647.692308,4133.846154,4248.205128,4086.666667,646.153846,646.153846,4178.974359,3469.74359,1699,1691,3159.431,0.031277,0,0,0,0,
15,0,417,4249.74359,647.692308,4163.589744,4116.410256,647.692308,647.692308,647.692308,4127.692308,4242.051282,4080.512821,646.153846,646.153846,4175.897436,3471.794872,1698,1691,3159.438,0.031277,0,0,0,0,
16,0,0,4246.153846,647.692308,4165.128205,4114.358974,647.692308,647.692308,647.692308,4111.794872,4224.102564,4066.666667,646.153846,646.153846,4170.769231,3471.794872,1698,1692,3159.446,0.031277,0,0,0,0,
"17:12:41	",17,0,0,4252.820513,647.692308,4166.666667,4113.333333,647.692308,647.692308,647.692308,4118.974359,4237.435897,4078.974359,646.153846,646.153846,4180,3475.384615,1699,1691,3159.456,0.031277,0,0,0,0
18,0,0,4263.076923,647.692308,4158.974359,4114.358974,647.692308,647.692308,647.692308,4138.974359,4252.307692,4092.820513,646.153846,646.153846,4187.179487,3475.384615,1697,1692,3159.462,0.031277,0,0,0,0,
19,0,0,4242.564103,647.692308,4155.897436,4110.25641,647.692308,647.692308,647.692308,4139.487179,4231.794872,4074.358974,646.153846,646.153846,4175.897436,3467.692308,1698,1693,3159.469,0.031277,0,0,0,0,
