Delta,Theta,Alpha ,Beta,Gamma
10.481266,9.691737,11.427925,23.12813,15.033389
10.533409,9.800267,11.167626,23.090599,15.03729
10.571418,9.904118,10.94412,23.053462,15.041162
10.597985,10.002507,10.753104,23.016884,15.044993
10.619595,10.094744,10.591355,22.980938,15.048776
10.644784,10.180291,10.455321,22.945632,15.052512
10.67722,10.258943,10.342182,22.911062,15.056192
10.712563,10.330614,10.247051,22.877276,15.059813
10.745014,10.395596,10.177924,22.844398,15.063362
10.772524,10.454477,10.199108,22.812497,15.066831
10.79439,10.50828,10.215297,22.781539,15.070225
10.808392,10.558497,10.226204,22.751569,15.073537
10.805811,10.607821,10.232451,22.722549,15.076772
10.741936,10.663463,10.235119,22.694391,15.103208
10.847989,10.696843,10.23577,22.66714,15.08304
11.015471,10.722702,10.235095,22.640815,15.086061
11.146501,10.754322,10.233453,22.615351,15.089016
11.269679,10.788182,10.231141,22.590724,15.091908
11.384271,10.823384,10.228199,22.566887,15.094746
11.467379,10.859512,10.224511,22.543759,15.097549
11.488306,10.896327,10.220091,22.521319,15.100319
11.459663,10.933584,10.214977,22.499534,15.103061
11.422842,10.971164,10.209152,22.478403,15.105773
11.40266,11.008922,10.202665,22.45791,15.108455
11.40451,11.046741,10.195789,22.438019,15.111116
11.423871,11.084516,10.188555,22.418712,15.113759
11.454518,11.122284,10.181033,22.399969,15.116385
11.494322,11.160363,10.173328,22.381765,15.119002
11.544907,11.199414,10.165411,22.364096,15.121601
11.612275,11.239821,10.157237,22.346958,15.124174
11.682568,11.280963,10.148801,22.330339,15.126718
11.74867,11.321797,10.1401,22.314232,15.129229
11.806712,11.361576,10.131099,22.298625,15.131712
11.854947,11.399964,10.121801,22.283508,15.134163
11.893162,11.436856,10.11222,22.268872,15.136574
11.922647,11.472283,10.102402,22.254712,15.138943
11.94496,11.5063,10.092367,22.24102,15.141268
11.961945,11.539121,10.082184,22.227803,15.143551
11.975563,11.571021,10.071931,22.215076,15.145794
11.986939,11.602145,10.061652,22.202843,15.147995
11.997403,11.632575,10.051358,22.191114,15.150151
12.007992,11.662411,10.041121,22.179892,15.152255
12.020482,11.691706,10.030989,22.16918,15.154304
12.038205,11.720369,10.020869,22.159003,15.156292
12.065018,11.748335,10.010793,22.14937,15.158214
12.100724,11.775511,10.00078,22.140298,15.160064
12.1412,11.801771,9.990837,22.131811,15.161834
12.182014,11.826939,9.981009,22.123917,15.16352
12.220578,11.850837,9.971363,22.116617,15.165118
12.255866,11.87329,9.961958,22.109922,15.166623
12.287772,11.893898,9.952791,22.103817,15.168034
