Delta,Theta,Alpha ,Beta,Gamma
10.486502,8.841816,10.972978,22.423482,15.075373
10.425281,8.802007,10.960697,22.478578,15.067345
10.361645,8.760192,10.947342,22.536323,15.058796
10.295562,8.716483,10.932976,22.596774,21.870797
10.227006,8.671044,10.917709,22.660077,19.028367
10.155945,8.624135,10.901776,22.726372,15.497201
10.082387,8.57607,10.885351,22.795873,15.018614
10.018298,8.527291,10.868637,22.868823,15.006797
9.984912,8.47836,10.85179,22.945496,14.994136
10.017781,8.429594,10.834682,23.026316,14.980534
10.063169,8.381033,10.816841,23.11182,14.965874
10.10932,8.332409,10.797343,23.202628,14.950025
10.157588,8.282889,10.774872,23.299551,15.046739
10.207291,8.23101,10.747787,23.403664,15.406871
10.257585,8.174785,10.714039,23.516349,15.803504
10.307551,8.11202,10.671308,23.639465,16.242457
10.357531,8.040653,10.617329,23.775349,16.731425
10.409502,7.958657,10.549757,23.927052,17.280659
10.466154,7.863446,10.465854,24.098542,17.903307
10.529415,7.753087,10.363017,24.294714,18.616565
10.600372,7.626123,10.238977,24.520516,19.438401
10.67994,7.483988,10.094386,24.775723,20.368352
10.772108,7.343042,9.945041,25.032778,21.306015
10.891259,7.272193,9.850256,25.185963,21.863566
11.045135,7.34469,9.87706,25.115301,21.601065
11.2031,7.505954,9.981566,24.900287,20.811346
11.332616,7.682822,10.093105,24.668407,19.963496
11.430192,7.850498,10.18762,24.462773,19.217296
11.510566,8.006523,10.262695,24.287326,18.588357
11.587164,8.152995,10.320581,24.137584,18.060591
11.666912,8.291504,10.364074,24.008488,17.659098
11.751582,8.422134,10.396009,23.89595,17.239306
11.835879,8.542538,10.419821,23.796733,16.919265
11.895201,8.645884,10.439607,23.708329,16.646793
11.977685,8.725225,10.45821,23.628939,19.27157
12.432377,8.787506,10.475483,23.557006,16.217807
12.648504,8.842397,10.489805,23.491239,16.050442
12.770484,8.894533,10.500357,23.4304,15.908155
12.856681,8.945895,10.50745,23.373351,15.786561
12.90541,8.997222,10.511876,23.319317,15.682282
12.911173,9.04849,10.514877,23.267746,15.592478
12.895384,9.099054,10.518358,23.218097,15.514147
12.877232,9.147979,10.524252,23.169965,15.444701
12.863281,9.194418,10.534033,23.123114,15.382128
12.854007,9.237807,10.548721,23.077343,15.324351
12.847809,9.278111,10.568554,23.032532,15.269539
12.843197,9.316037,10.592833,22.988555,15.215263
12.838151,9.352814,10.620016,22.945334,15.158944
12.832766,9.389786,10.647989,22.90287,15.09806
12.826579,9.428129,10.67444,22.861236,15.030222
12.818214,9.468375,10.698364,22.820521,14.987575
12.808108,9.510723,10.719577,22.780779,14.994214
12.79776,9.555561,10.737555,22.742122,15.000931
12.789482,9.602887,10.752148,22.704591,15.007704
12.785276,9.652198,10.763584,22.668134,15.0145
12.786761,9.702968,10.771991,22.632712,15.021292
12.795408,9.754363,10.777577,22.598252,15.028055
12.812332,9.805429,10.78032,22.564734,15.034772
12.837926,9.855001,10.779941,22.532205,15.041434
12.871469,9.901457,10.77633,22.500634,15.048027
12.910901,9.943097,10.769119,22.470086,15.054544
12.952639,9.978316,10.758042,22.440635,15.060978
12.991558,10.006396,10.743272,22.412251,15.067319
13.020713,10.027776,10.725319,22.384928,15.073558
13.031822,10.044213,10.705035,22.358638,15.079687
13.026762,10.057973,10.683941,22.333395,15.130452
13.030078,10.0716,10.664052,22.309226,15.091565
13.070616,10.087675,10.64716,22.286145,15.097286
13.113489,10.108563,10.634502,22.264154,15.102854
13.140685,10.135237,10.626665,22.243248,15.108263
13.170739,10.157551,10.620045,22.223423,15.113512
13.245713,10.144506,10.603089,22.204674,15.118596
13.345815,10.108524,10.580753,22.186995,15.123516
13.420846,10.074927,10.562921,22.17038,15.128275
13.436724,10.046809,10.550799,22.154818,15.132864
13.385594,10.02288,10.543885,22.140302,15.137279
13.2938,10.001866,10.541761,22.126823,15.14152
13.188744,9.982846,10.544102,22.114375,15.145587
13.083943,9.965144,10.550643,22.10295,15.149479
12.984331,9.948146,10.561176,22.092542,15.153192
12.891369,9.9313,10.575487,22.083145,15.156721
12.806041,9.914468,10.593144,22.07475,15.160068
12.727835,9.897665,10.613564,22.06735,15.163233
12.655301,9.8809,10.636061,22.060939,15.16621
12.585887,9.864403,10.659754,22.055508,15.168997
12.517367,9.848514,10.683614,22.051046,15.1716
12.448077,9.833764,10.706208,22.04754,15.174017
12.376977,9.820576,10.726422,22.044976,15.176247
12.303262,9.809319,10.74316,22.043334,15.178287
12.226793,9.800017,10.75608,22.042587,15.180139
